,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
System Parameters (defined by hardware),,,,Profiles (usage of each component mode - defined by software and usage),,,,,,,,,,,,
,form the datasheets,,,,,,,,,,,,,,,
,,,,"""off""","""sensing""","""interactive""",Datasheet Link,,,,,,,,,
Esp32-wroom（Display）,,,,,,,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.espressif.com/sites/default/files/documentation/esp32_datasheet_en.pdf,,,,,,,,,
Active,66,mW,,0%,5%,10%,,,,,,,,,,
Idle,10,mW,,0%,20%,40%,,,,,,,,,,
Sleep,0.0165,mW,,100%,75%,50%,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
ULN2003,,,,,,,,,,,,,,,,
Active,202,mW,,0%,20%,50%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.ti.com/lit/ds/symlink/uln2003a.pdf?ts=1739366609784&ref_url=https%253A%252F%252Fco.mouser.com%252F,,,,,,,,,
Idle,5,mW,,0%,30%,40%,,,,,,,,,,
Off,0.065,mW,,100%,50%,10%,,,,,,,,,,
,,,,,,,,,,,,,,,,
LED,,,,,,,,,,,,,,,,
On,5,mW,,0%,5%,5%,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Stepper Motor,,,,,,,,,,,,,,,,
Active,150,mW,,0%,0%,5%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://agr.ucoz.lv/files/SP_X27_e_C.pdf,,,,,,,,,
Idle,50,mW,,0%,5%,10%,,,,,,,,,,
Off,0.1,mW,,100%,95%,85%,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,Total power in profile (mw),,,Maximum Time ,,
,,,,,,,,,,,"""off""",18%,mW,9173.6,hours,
,,,,,,,,,,,"""sensing""",5009%,mW,33.2,hours,
,,,,,,,,,,,"""interactive""",12645%,mW,13.2,hours,
,,,,,,,,,,,,,,,,
,,,,20,2,2,hours/day typical usage,,,,Effective Battery Capacity,,,,,
Battery,,,,,,,,,,,,166500%,mW*h,,,
Capacity,500,mAh,,,,,,,,,,,,,,
Nominal Voltage,3.7,V,,,,,,,,,Days of Use,4.67,days,,,
Regulator Efficiency,90%,,,,,,,,,,Hours of Use,112.02,hours,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
REFLECTIONS : WHAT DID YOU LEARN FROM ANALYZING YOUR POWER.  TALK ABOUT SOME POTENTIAL TRADEOFFS. ,,,,,,,,,,,,,,,,
"1. My metric was the max time estimation of my cat could use the litter box per day, which I set was 10 times per day. Eachmeasure time will be 5 minutes, so I cauculated the active time of the stepper motor and esp32 based on this metic.",,,,,,,,,,,,,,,,
"2. By calculating the daily battery usage with a regulator efficiency of 90%, I think 500mAh with 3.7V battery will ensure a 3-5 days usage.",,,,,,,,,,,,,,,,
"3. Reduce the bluetooth data transmission frequency will increase the power saving, but may cause data inaccuracy due to the delay. So I decided to use the 500mAh battery instead of the 210mAh.",,,,,,,,,,,,,,,,
